Departure,Return,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2023-06-01 0:00,2023-06-01 1:00,FALSE,0190 Melville & Bute,0190 Melville & Bute,Pay Per Ride,4520,3635,16,15,0,0
2023-06-01 0:00,2023-06-01 0:00,TRUE,0072 14th & Cambie,0561 20th & Main,365 Day Pass Plus SALE,1626,445,11,15,0,0
2023-06-01 0:00,2023-06-01 1:00,FALSE,0190 Melville & Bute,0190 Melville & Bute,Pay Per Ride,3728,3480,16,17,0,0
2023-06-01 0:00,2023-06-01 1:00,FALSE,0190 Melville & Bute,0190 Melville & Bute,Pay Per Ride,3381,3734,16,15,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0005 Dunsmuir & Beatty,0017 Marinaside & Davie,365 Day Pass Plus,1041,329,16,17,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0122 Haro & Denman,0088 Harwood & Bute,Community Pass,1799,454,15,16,0,0
2023-06-01 0:00,2023-06-01 0:00,TRUE,0005 Dunsmuir & Beatty,0005 Dunsmuir & Beatty,365 Day Pass Plus,0,14,11,9,0,0
2023-06-01 0:00,2023-06-01 8:00,FALSE,0028 Davie & Beach,0028 Davie & Beach,24 Hour,8758,30002,15,18,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0011 Ontario & Seawall,0313 Nelson & Denman,365 Day Pass Standard,4569,1355,14,14,0,0
2023-06-01 0:00,2023-06-01 0:00,TRUE,0058 Richards & Smithe,0032 Comox & Denman,365 Day Pass Standard,3971,937,11,8,0,0
2023-06-01 0:00,2023-06-01 1:00,FALSE,0190 Melville & Bute,0190 Melville & Bute,Pay Per Ride,5464,4309,16,13,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0148 Creekside Park North,0017 Marinaside & Davie,365 Day Founding Plus,1866,494,15,17,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0077 Vanier Park,0009 Spyglass & Seawall,365 Day Pass Standard,3446,1336,13,17,0,0
2023-06-01 0:00,2023-06-01 0:00,TRUE,0031 Morton & Denman,0200 Cardero & Bayshore,365 Day Pass Standard,1320,258,11,15,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0099 šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,0048 Comox & Broughton,365 Day Pass Standard,1519,542,16,17,0,0
2023-06-01 0:00,2023-06-01 0:00,TRUE,0058 Richards & Smithe,0098 Carrall & Hastings,30 Day Pass,1456,396,11,9,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0199 Georgia & Main,0173 Columbia & 1st,365 Day Pass Standard,1617,464,16,17,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0053 Keefer & Abbott,0255 18th & Main,24 Hour,3430,813,16,15,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0199 Georgia & Main,0060 Bidwell & Burnaby,Pay Per Ride,5004,1474,15,15,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0053 Keefer & Abbott,0255 18th & Main,24 Hour,3428,863,16,16,0,0
2023-06-01 0:00,2023-06-01 8:00,FALSE,0028 Davie & Beach,0028 Davie & Beach,24 Hour,8845,30571,15,18,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0004 Yaletown-Roundhouse Station,0089 Burrard & Drake,365 Day Pass Standard,949,415,16,15,0,0
2023-06-01 0:00,2023-06-01 0:00,TRUE,0021 Cordova & Granville,0034 Cordova & Bute,Pay Per Ride,1462,351,12,9,0,0
2023-06-01 0:00,2023-06-01 1:00,FALSE,0025 Homer & Robson (Vancouver Public Library),0030 Abbott & Cordova,365 Day Pass Plus,13383,3236,16,17,1983,5
2023-06-01 0:00,2023-06-01 0:00,FALSE,0021 Cordova & Granville,0196 Hornby & Drake,365 Day Pass Plus,1890,666,16,15,0,0
2023-06-01 0:00,2023-06-01 0:00,TRUE,0052 Cambie & Water,0631 Lakewood & Triumph,365 Corporate Plus,3682,758,11,15,0,0
2023-06-01 0:00,2023-06-01 1:00,FALSE,0028 Davie & Beach,0028 Davie & Beach,24 Hour,9244,4717,15,14,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0021 Cordova & Granville,0034 Cordova & Bute,365 Day Pass Plus,1535,445,17,18,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0021 Cordova & Granville,0021 Cordova & Granville,365 Day Pass Plus,0,47,16,16,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0124 Richards & Cordova,0187 Bute & Davie,30 Day Pass,2385,622,15,16,0,0
2023-06-01 0:00,2023-06-01 0:00,TRUE,0027 Beatty & Nelson,0006 Olympic Village Station,30 Day Pass,1159,260,11,8,0,0
2023-06-01 0:00,2023-06-01 0:00,TRUE,0027 Beatty & Nelson,0006 Olympic Village Station,30 Day Pass,1164,283,12,16,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0242 8th & Commercial,0642 Franklin & Nanaimo,30 Day Pass,3205,870,14,16,0,0
2023-06-01 0:00,2023-06-01 0:00,TRUE,0027 Beatty & Nelson,0027 Beatty & Nelson,30 Day Pass,0,5,12,15,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0073 Ontario & 5th,0006 Olympic Village Station,30 Day Pass,1494,818,18,17,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0054 Expo & Carrall,0285 Commercial & Pandora,365 Day Pass Standard,3256,1022,15,15,0,0
2023-06-01 0:00,2023-06-01 0:00,FALSE,0004 Yaletown-Roundhouse Station,0083 Aquatic Centre,365 Day Pass Plus SALE,3340,864,16,16,0,0
2023-05-31 23:00,2023-06-01 0:00,FALSE,0150 Alexander & Main,0073 Ontario & 5th,Pay Per Ride,2654,1450,17,17,0,0
2023-05-31 23:00,2023-06-01 0:00,FALSE,0009 Spyglass & Seawall,0212 Union & Dunlevy,365 Day Pass Plus,2217,811,15,16,0,0
2023-05-31 23:00,2023-06-01 0:00,FALSE,0024 Hornby & Pender,0255 18th & Main,365 Day Pass Standard,4784,1185,16,18,0,0
2023-05-31 23:00,2023-06-01 0:00,FALSE,0055 Keefer & Columbia,0144 Wylie & 2nd,30 Day Pass,2082,522,15,18,0,0
2023-05-31 23:00,2023-05-31 23:00,FALSE,0040 Cardero & Davie,0032 Comox & Denman,30 Day Pass,475,148,16,17,0,0
2023-05-31 23:00,2023-06-01 0:00,FALSE,0066 Anderson & 2nd,0119 3rd & Quebec,365 Day Pass Plus,3757,882,16,17,0,0
2023-05-31 23:00,2023-06-01 0:00,FALSE,0006 Olympic Village Station,0073 Ontario & 5th,30 Day Pass,1339,1224,17,17,0,0
2023-05-31 23:00,2023-05-31 23:00,TRUE,0074 10th & Main,0130 Heather & 16th,365 Corporate Plus,1961,496,10,7,0,0
2023-05-31 23:00,2023-05-31 23:00,TRUE,0036 Bute & Robson,0021 Cordova & Granville,30 Day Pass,1388,437,11,15,0,0
2023-05-31 23:00,2023-05-31 23:00,TRUE,0036 Bute & Robson,0036 Bute & Robson,30 Day Pass,0,5,11,15,0,0
2023-05-31 23:00,2023-05-31 23:00,FALSE,0108 1st & Chestnut,0045 Beach & Hornby,Pay Per Ride,1617,560,15,15,0,0
2023-05-31 23:00,2023-05-31 23:00,FALSE,0063 Robson & Granville,0310 Jervis & Robson,365 Day Pass Standard SALE,955,312,16,15,0,0
2023-05-31 23:00,2023-05-31 23:00,FALSE,0044 Pacific & Richards,0443 Balaclava & 6th,365 Day Pass Standard,4492,1088,16,17,0,0
2023-05-31 23:00,2023-05-31 23:00,FALSE,0058 Richards & Smithe,0196 Hornby & Drake,30 Day Pass,1135,441,16,15,0,0
2023-05-31 23:00,2023-05-31 23:00,TRUE,0217 Smithe & Burrard,0048 Comox & Broughton,365 Day Pass Standard,930,217,13,16,0,0
2023-05-31 23:00,2023-05-31 23:00,TRUE,0070 10th & Granville,0532 22nd & Cambie,30 Day Pass,2915,565,12,15,0,0
2023-05-31 23:00,2023-05-31 23:00,FALSE,0098 Carrall & Hastings,0098 Carrall & Hastings,30 Day Pass,16,129,16,16,0,0
2023-05-31 23:00,2023-05-31 23:00,TRUE,0025 Homer & Robson (Vancouver Public Library),0050 Bute & Comox,Pay Per Ride,1514,554,12,9,0,0
