Departure,Return,Bike,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2024-01-01 0:00,2024-01-01 0:00,1676,FALSE,0193 Science World,0470 Balsam & Cornwall,Community Pass,6448,1837,7,9,0,0
2024-01-01 0:00,2024-01-01 0:00,783,FALSE,0005 Dunsmuir & Beatty,0015 Granville & Georgia,365 Day Pass Plus SALE,880,308,8,9,0,0
2024-01-01 0:00,2024-01-01 0:00,30473,TRUE,0187 Bute & Davie,0159 Vine & 4th,365 Corporate Standard,3509,561,4,1,0,0
2024-01-01 0:00,2024-01-01 0:00,1615,FALSE,0025 Homer & Robson (Vancouver Public Library),0136 David Lam Park,365 Corporate Plus Renewal,1984,744,9,11,0,0
2024-01-01 0:00,2024-01-01 1:00,30345,TRUE,0179 11th & Kingsway,0561 20th & Main,365 Day Pass Standard SALE,1761,402,3,0,0,0
2024-01-01 0:00,2024-01-01 0:00,30694,TRUE,0212 Union & Dunlevy,0198 5th & Main,365 Corporate Standard,1606,378,2,0,0,0
2024-01-01 0:00,2024-01-01 0:00,530,FALSE,0193 Science World,0004 Yaletown-Roundhouse Station,365 Day Founding Plus,1915,564,9,10,0,0
2024-01-01 0:00,2024-01-01 0:00,599,FALSE,0009 Spyglass & Seawall,0114 Cypress & 14th,Pay Per Ride,5948,2375,8,8,0,0
2024-01-01 0:00,2024-01-01 0:00,28,FALSE,0074 10th & Main,0554 Ontario & 23rd,Pay Per Ride,1658,488,8,10,0,0
2024-01-01 0:00,2024-01-01 0:00,546,FALSE,0082 Richards & Davie,0025 Homer & Robson (Vancouver Public Library),365 Corporate Plus Renewal,853,305,9,11,0,0
2024-01-01 0:00,2024-01-01 0:00,1167,FALSE,0108 1st & Chestnut,0041 Cardero & Robson,365 Day Pass Standard,3365,989,9,11,0,0
2024-01-01 0:00,2024-01-01 0:00,30330,TRUE,0212 Union & Dunlevy,0138 Richards & Helmcken,Community Pass E-bike (PWD),3881,2427,3,9,0,0
2024-01-01 0:00,2024-01-01 0:00,30401,TRUE,0037 Hornby & Nelson,0019 Robson & Hornby,Pay Per Ride,5100,2045,4,1,0,0
2024-01-01 0:00,2024-01-01 0:00,682,FALSE,0470 Balsam & Cornwall,0155 Arbutus & McNicoll,365 Corporate Plus,2869,1747,8,8,0,0
2024-01-01 0:00,2024-01-01 0:00,30163,TRUE,0037 Hornby & Nelson,0037 Hornby & Nelson,Pay Per Ride,0,8,6,9,0,0
2024-01-01 0:00,2024-01-01 0:00,1167,FALSE,0159 Vine & 4th,0108 1st & Chestnut,365 Day Pass Standard,1119,292,7,9,0,0
2024-01-01 0:00,2024-01-01 0:00,30260,TRUE,0037 Hornby & Nelson,0019 Robson & Hornby,Pay Per Ride,5085,2384,4,1,0,0
2024-01-01 0:00,2024-01-01 0:00,30235,TRUE,0037 Hornby & Nelson,0019 Robson & Hornby,Pay Per Ride,5361,2425,5,3,0,0
2024-01-01 0:00,2024-01-01 0:00,30219,TRUE,0087 Broughton & Davie,0155 Arbutus & McNicoll,VIP,3131,611,5,3,0,0
2024-01-01 0:00,2024-01-01 0:00,30389,TRUE,0196 Hornby & Drake,0015 Granville & Georgia,Pay Per Ride,8147,2842,6,3,0,0
2024-01-01 0:00,2024-01-01 0:00,30519,TRUE,0716 Sasamat & 10th,0400 Jericho Beach,Pay Per Ride,2909,609,3,0,0,0
2024-01-01 0:00,2024-01-01 0:00,1971,FALSE,0014 Canada Place,0034 Cordova & Bute,Community Pass E-bike,1116,2435,9,7,0,0
2023-12-31 23:00,2024-01-01 0:00,30309,TRUE,0201 Rogers Tower,0063 Robson & Granville,VIP,1175,3484,6,1,0,0
2023-12-31 23:00,2024-01-01 0:00,30040,TRUE,0201 Rogers Tower,0063 Robson & Granville,VIP,1299,3500,5,8,0,0
2023-12-31 23:00,2024-01-01 0:00,1798,FALSE,0089 Burrard & Drake,0196 Hornby & Drake,Pay Per Ride,200,445,10,10,0,0
2023-12-31 23:00,2023-12-31 23:00,30183,TRUE,0082 Richards & Davie,0027 Beatty & Nelson,365 Corporate Standard Renewal,801,260,4,8,0,0
2023-12-31 23:00,2024-01-01 0:00,30051,TRUE,0089 Burrard & Drake,0015 Granville & Georgia,Pay Per Ride,8403,3488,5,8,0,0
2023-12-31 23:00,2024-01-01 0:00,30450,TRUE,0142 Beach & Cardero,0098 Carrall & Hastings,365 Corporate Standard,4583,981,2,0,0,0
2023-12-31 23:00,2023-12-31 23:00,30618,TRUE,0058 Richards & Smithe,0027 Beatty & Nelson,365 Day Pass Standard,646,292,5,2,0,0
2023-12-31 23:00,2023-12-31 23:00,467,FALSE,0089 Burrard & Drake,0017 Marinaside & Davie,365 Day Pass Standard SALE,1596,375,10,12,0,0
2023-12-31 23:00,2023-12-31 23:00,721,FALSE,0089 Burrard & Drake,0017 Marinaside & Davie,Pay Per Ride,1574,381,9,12,0,0
2023-12-31 23:00,2023-12-31 23:00,1971,FALSE,0014 Canada Place,0014 Canada Place,24 Hour,10,203,9,6,0,0
2023-12-31 23:00,2023-12-31 23:00,30545,TRUE,0014 Canada Place,0014 Canada Place,24 Hour,1,232,5,8,0,0
2023-12-31 23:00,2024-01-01 0:00,683,FALSE,0107 8th & Ontario,0068 Cypress & 10th,Pay Per Ride,3493,1194,8,9,0,0
2023-12-31 23:00,2024-01-01 0:00,1855,FALSE,0107 8th & Ontario,0068 Cypress & 10th,Pay Per Ride,3440,1217,8,9,0,0
2023-12-31 23:00,2024-01-01 0:00,1184,FALSE,0180 Columbia & 14th,0193 Science World,Pay Per Ride,2172,927,6,8,0,0
2023-12-31 23:00,2024-01-01 0:00,30264,TRUE,0107 8th & Ontario,0068 Cypress & 10th,Pay Per Ride,3468,1286,4,1,0,0
2023-12-31 23:00,2023-12-31 23:00,1676,FALSE,0180 Columbia & 14th,0193 Science World,Pay Per Ride,2135,921,6,8,0,0
2023-12-31 23:00,2023-12-31 23:00,30694,TRUE,0219 Hawks & Union,0212 Union & Dunlevy,Pay Per Ride,650,140,2,0,0,0
2023-12-31 23:00,2023-12-31 23:00,1374,FALSE,0106 Heather & 14th,0071 14th & Granville,365 Corporate Plus,1492,399,8,10,0,0
2023-12-31 23:00,2023-12-31 23:00,702,FALSE,0015 Granville & Georgia,0187 Bute & Davie,365 Corporate Standard,1623,550,9,11,0,0
2023-12-31 23:00,2023-12-31 23:00,30614,TRUE,0002 Burrard Station (Melville & Dunsmuir),0058 Richards & Smithe,365 Day Pass Plus,1077,371,5,9,0,0
2023-12-31 23:00,2024-01-01 0:00,1003,FALSE,0034 Cordova & Bute,0148 Creekside Park North,365 Day Pass Plus,8247,3121,9,11,0,0
2023-12-31 23:00,2023-12-31 23:00,1938,FALSE,0012 Dunsmuir & Richards,0171 Yukon & 6th,Community Pass,2446,837,9,11,0,0
2023-12-31 23:00,2023-12-31 23:00,30579,TRUE,0099 šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,0048 Comox & Broughton,365 Day Pass Plus,1415,355,5,1,0,0
2023-12-31 23:00,2023-12-31 23:00,412,FALSE,0261 8th & Fraser,0058 Richards & Smithe,Community Pass E-bike,3902,1287,8,9,0,0
2023-12-31 23:00,2023-12-31 23:00,30127,TRUE,0109 7th & Arbutus,0484 Yew & Broadway,30 Day Pass,424,105,4,8,0,0
2023-12-31 23:00,2023-12-31 23:00,30525,TRUE,0109 7th & Arbutus,0109 7th & Arbutus,30 Day Pass,0,6,3,6,0,0
2023-12-31 23:00,2023-12-31 23:00,1858,FALSE,0200 Cardero & Bayshore,0073 Ontario & 5th,30 Day Pass,5170,1255,9,12,0,0
2023-12-31 23:00,2023-12-31 23:00,1718,FALSE,0034 Cordova & Bute,0002 Burrard Station (Melville & Dunsmuir),365 Day Pass Plus,971,1129,12,12,840,1
2023-12-31 23:00,2023-12-31 23:00,30309,TRUE,0024 Hornby & Pender,0201 Rogers Tower,VIP,847,2160,7,1,0,0
2023-12-31 23:00,2023-12-31 23:00,30040,TRUE,0024 Hornby & Pender,0201 Rogers Tower,VIP,852,2180,5,1,0,0
2023-12-31 23:00,2023-12-31 23:00,1364,FALSE,0192 7th &  Alder,0174 1st & Manitoba,365 Day Pass Standard SALE,2219,448,7,11,0,0
2023-12-31 23:00,2023-12-31 23:00,30298,TRUE,0161 Alexander & Dunlevy,0064 Expo & Smithe,Pay Per Ride,2187,611,5,2,0,0
2023-12-31 23:00,2023-12-31 23:00,30262,TRUE,0032 Comox & Denman,0032 Comox & Denman,Pay Per Ride,0,18,4,8,0,0
2023-12-31 23:00,2023-12-31 23:00,1507,FALSE,0244 10th & Commercial,0252 Woodland & Graveley,365 Day Founding Plus,1321,366,8,10,0,0
2023-12-31 23:00,2023-12-31 23:00,1666,FALSE,0143 South False Creek Seawall,0010 Stamps Landing,Pay Per Ride,1090,494,7,8,0,0
2023-12-31 23:00,2023-12-31 23:00,1917,FALSE,0132 14th & Ontario,0106 Heather & 14th,365 Corporate Plus Renewal,1202,315,7,7,0,0
2023-12-31 23:00,2023-12-31 23:00,30038,TRUE,0010 Stamps Landing,0143 South False Creek Seawall,Pay Per Ride,932,294,4,7,0,0
2023-12-31 23:00,2023-12-31 23:00,30277,TRUE,0019 Robson & Hornby,0223 Commercial & Adanac,VIP,4225,850,4,1,0,0
2023-12-31 23:00,2023-12-31 23:00,856,FALSE,0132 14th & Ontario,0106 Heather & 14th,365 Corporate Plus,1182,399,8,9,0,0
2023-12-31 23:00,2023-12-31 23:00,1152,FALSE,0019 Robson & Hornby,0174 1st & Manitoba,365 Corporate Plus Renewal,3156,1028,9,11,0,0
2023-12-31 23:00,2024-01-01 0:00,30469,TRUE,0084 Beach & Broughton,0139 Burrard & 4th,Pay Per Ride,2252,491,0,2,0,0
2023-12-31 23:00,2023-12-31 23:00,30038,TRUE,0010 Stamps Landing,0010 Stamps Landing,Pay Per Ride,0,8,4,1,0,0
