Departure,Return,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2023-07-01 0:00,2023-07-01 0:00,FALSE,0078 Nelson & Mainland,0098 Carrall & Hastings,365 Day Pass Standard,2719,843,20,20,0,0
2023-07-01 0:00,2023-07-01 0:00,FALSE,0054 Expo & Carrall,0083 Aquatic Centre,365 Day Pass Standard,3802,1112,21,19,0,0
2023-07-01 0:00,2023-07-01 0:00,TRUE,0196 Hornby & Drake,0196 Hornby & Drake,30 Day Pass,0,13,17,13,0,0
2023-07-01 0:00,2023-07-01 0:00,FALSE,0026 Beatty & Robson,0144 Wylie & 2nd,365 Day Pass Plus,1621,331,19,22,0,0
2023-07-01 0:00,2023-07-01 0:00,TRUE,0012 Dunsmuir & Richards,0229 Keefer & Princess,24 Hour,3413,1211,17,14,0,0
2023-07-01 0:00,2023-07-01 0:00,FALSE,0005 Dunsmuir & Beatty,0027 Beatty & Nelson,30 Day Pass,767,254,20,19,0,0
2023-07-01 0:00,2023-07-01 0:00,TRUE,0252 Woodland & Graveley,0179 11th & Kingsway,365 Corporate Plus,2842,810,15,19,0,0
2023-07-01 0:00,2023-07-01 0:00,TRUE,0252 Woodland & Graveley,0252 Woodland & Graveley,365 Corporate Plus,0,8,15,11,0,0
2023-07-01 0:00,2023-07-01 0:00,TRUE,0075 Arbutus & 10th,0204 York & Yew,365 Day Pass Standard,1180,375,17,20,0,0
2023-07-01 0:00,2023-07-01 0:00,TRUE,0070 10th & Granville,0114 Cypress & 14th,365 Day Pass Standard SALE,1086,304,15,19,0,0
2023-07-01 0:00,2023-07-01 0:00,FALSE,0001 10th & Cambie,0176 10th & Ontario,30 Day Pass,702,191,19,20,0,0
2023-07-01 0:00,2023-07-01 0:00,TRUE,0070 10th & Granville,0070 10th & Granville,365 Day Pass Standard SALE,0,7,16,19,0,0
2023-07-01 0:00,2023-07-01 0:00,FALSE,0189 Granville Island,0065 Cypress & Cornwall,365 Corporate Plus Renewal,2297,833,19,20,0,0
2023-07-01 0:00,2023-07-01 0:00,TRUE,0565 27th & Main,0352 Commercial & 20th,Pay Per Ride,3049,456,15,11,0,0
2023-07-01 0:00,2023-07-01 0:00,TRUE,0565 27th & Main,0565 27th & Main,Pay Per Ride,0,5,15,18,0,0
2023-07-01 0:00,2023-07-01 0:00,FALSE,0308 Seymour & Cordova,0087 Broughton & Davie,365 Day Pass Plus SALE,2540,893,21,21,0,0
2023-07-01 0:00,2023-07-01 0:00,FALSE,0308 Seymour & Cordova,0087 Broughton & Davie,Pay Per Ride,2562,868,21,21,0,0
