Departure,Return,Bike,Electric bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2023-11-01 0:00,2023-11-01 0:00,518,FALSE,0197 1st & Scotia,0197 1st & Scotia,30 Day Pass,473,276,7,8,0,0
2023-11-01 0:00,2023-11-01 0:00,30609,TRUE,0187 Bute & Davie,0300 Bute & Barclay,365 Day Pass Plus,453,108,5,9,0,0
2023-11-01 0:00,2023-11-01 0:00,1881,FALSE,0036 Bute & Robson,0028 Davie & Beach,Pay Per Ride,1637,611,10,9,0,0
2023-11-01 0:00,2023-11-01 0:00,1400,FALSE,0036 Bute & Robson,0031 Morton & Denman,Pay Per Ride,1864,925,10,10,0,0
2023-11-01 0:00,2023-11-01 0:00,30326,TRUE,0179 11th & Kingsway,0300 Bute & Barclay,Pay Per Ride,4614,908,5,9,0,0
2023-11-01 0:00,2023-11-01 0:00,30189,TRUE,0107 8th & Ontario,0055 Keefer & Columbia,Pay Per Ride,2020,528,3,8,0,0
2023-11-01 0:00,2023-11-01 0:00,30311,TRUE,0036 Bute & Robson,0089 Burrard & Drake,365 Day Pass Standard,1253,377,5,2,0,0
2023-11-01 0:00,2023-11-01 0:00,453,FALSE,0098 Carrall & Hastings,0057 Marinaside & Cooperage,365 Day Pass Standard,1570,438,9,9,0,0
2023-11-01 0:00,2023-11-01 0:00,30431,TRUE,0173 Columbia & 1st,0239 Grant & Commercial,Pay Per Ride,4608,1163,4,1,0,0
2023-11-01 0:00,2023-11-01 0:00,30392,TRUE,0144 Wylie & 2nd,0150 Alexander & Main,Community Pass E-bike (PWD),2903,623,4,9,0,0
2023-11-01 0:00,2023-11-01 0:00,672,FALSE,0019 Robson & Hornby,0048 Comox & Broughton,365 Day Pass Standard,1359,560,10,12,0,0
2023-11-01 0:00,2023-11-01 0:00,30609,TRUE,0064 Expo & Smithe,0187 Bute & Davie,365 Day Pass Plus,1985,501,5,1,0,0
2023-11-01 0:00,2023-11-01 0:00,1648,FALSE,0044 Pacific & Richards,0138 Richards & Helmcken,365 Corporate Standard,1682,642,10,9,0,0
2023-10-31 23:00,2023-11-01 0:00,1906,FALSE,0019 Robson & Hornby,0142 Beach & Cardero,365 Day Pass Plus,2413,588,10,13,0,0
2023-10-31 23:00,2023-11-01 0:00,1231,FALSE,0026 Beatty & Robson,0187 Bute & Davie,365 Day Pass Standard SALE,2062,650,9,12,0,0
2023-10-31 23:00,2023-11-01 0:00,1644,FALSE,0099 šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,0005 Dunsmuir & Beatty,365 Corporate Standard Renewal,1184,435,10,11,0,0
2023-10-31 23:00,2023-10-31 23:00,30893,TRUE,0012 Dunsmuir & Richards,0027 Beatty & Nelson,Pay Per Ride,1031,345,4,9,0,0
2023-10-31 23:00,2023-11-01 0:00,1701,FALSE,0255 18th & Main,0211 14th & Alder,365 Day Pass Plus,2670,748,6,8,0,0
2023-10-31 23:00,2023-10-31 23:00,30098,TRUE,0050 Bute & Comox,0048 Comox & Broughton,365 Day Pass Plus SALE,367,88,4,0,0,0
2023-10-31 23:00,2023-11-01 0:00,61,FALSE,0139 Burrard & 4th,0212 Union & Dunlevy,365 Day Pass Plus,5215,1252,7,9,0,0
2023-10-31 23:00,2023-10-31 23:00,30036,TRUE,0124 Richards & Cordova,0200 Cardero & Bayshore,Pay Per Ride,2029,555,5,2,0,0
2023-10-31 23:00,2023-11-01 0:00,30631,TRUE,0484 Yew & Broadway,0282 14th & Fraser,365 Day Pass Standard,5868,2161,2,0,0,0
2023-10-31 23:00,2023-10-31 23:00,1338,FALSE,0082 Richards & Davie,0082 Richards & Davie,30 Day Pass,802,294,8,10,0,0
2023-10-31 23:00,2023-10-31 23:00,455,FALSE,0235 Charles & Commercial,0245 Woodland & 10th,365 Day Pass Plus SALE,2076,632,7,9,0,0
2023-10-31 23:00,2023-10-31 23:00,1519,FALSE,0114 Cypress & 14th,0196 Hornby & Drake,30 Day Pass,3013,724,6,9,0,0
2023-10-31 23:00,2023-11-01 0:00,30386,TRUE,0041 Cardero & Robson,0089 Burrard & Drake,365 Day Pass Plus,4441,2102,4,10,0,0
2023-10-31 23:00,2023-10-31 23:00,30345,TRUE,0030 Abbott & Cordova,0032 Comox & Denman,30 Day Pass,5287,1367,4,9,0,0
2023-10-31 23:00,2023-10-31 23:00,1458,FALSE,0008 8th & Ash,0055 Keefer & Columbia,30 Day Pass,2662,477,9,11,0,0
2023-10-31 23:00,2023-10-31 23:00,30251,TRUE,0221 Glen & Union,0611 Wall & Eton,Pay Per Ride,2395,788,1,6,0,0
2023-10-31 23:00,2023-10-31 23:00,30155,TRUE,0174 1st & Manitoba,0108 1st & Chestnut,365 Day Pass Standard,3283,556,3,1,0,0
2023-10-31 23:00,2023-10-31 23:00,30772,TRUE,0531 18th & Cambie,0180 Columbia & 14th,365 Day Pass Plus SALE,889,236,1,-1,0,0
2023-10-31 23:00,2023-10-31 23:00,30437,TRUE,0532 22nd & Cambie,0130 Heather & 16th,Pay Per Ride,902,231,2,-1,0,0
2023-10-31 23:00,2023-10-31 23:00,30509,TRUE,0193 Science World,0032 Comox & Denman,365 Day Pass Standard,5594,1772,5,10,0,0
2023-10-31 23:00,2023-10-31 23:00,1615,FALSE,0310 Jervis & Robson,0087 Broughton & Davie,365 Day Pass Standard SALE,782,287,8,10,0,0
2023-10-31 23:00,2023-10-31 23:00,1229,FALSE,0005 Dunsmuir & Beatty,0024 Hornby & Pender,365 Corporate Standard Renewal,1029,317,8,10,0,0
2023-10-31 23:00,2023-10-31 23:00,30564,TRUE,0631 Lakewood & Triumph,0266 St Catherines & 7th,VIP,3877,869,1,-1,0,0
2023-10-31 23:00,2023-10-31 23:00,30026,TRUE,0035 Hastings & Broughton,0088 Harwood & Bute,365 Day Pass Plus SALE,1566,390,4,8,0,0
2023-10-31 23:00,2023-10-31 23:00,30332,TRUE,0631 Lakewood & Triumph,0266 St Catherines & 7th,VIP,3835,872,1,6,0,0
2023-10-31 23:00,2023-10-31 23:00,30289,TRUE,0187 Bute & Davie,0088 Harwood & Bute,Community Pass E-bike (PWD),629,922,5,1,0,0
2023-10-31 23:00,2023-10-31 23:00,30289,TRUE,0187 Bute & Davie,0187 Bute & Davie,Community Pass E-bike (PWD),0,7,5,1,0,0
2023-10-31 23:00,2023-10-31 23:00,30312,TRUE,0142 Beach & Cardero,0082 Richards & Davie,Community Pass E-bike,2017,452,0,7,0,0
2023-10-31 23:00,2023-10-31 23:00,698,FALSE,0212 Union & Dunlevy,0057 Marinaside & Cooperage,365 Day Pass Standard,1645,394,6,9,0,0
2023-10-31 23:00,2023-10-31 23:00,450,FALSE,0012 Dunsmuir & Richards,0082 Richards & Davie,365 Corporate Plus Renewal,1147,420,8,10,0,0
2023-10-31 23:00,2023-10-31 23:00,1187,FALSE,0050 Bute & Comox,0102 Stanley Park - Second Beach North,365 Day Pass Standard,2272,640,9,8,0,0
2023-10-31 23:00,2023-10-31 23:00,803,FALSE,0084 Beach & Broughton,0193 Science World,Community Pass,4271,1157,7,10,0,0
2023-10-31 23:00,2023-10-31 23:00,1078,FALSE,0011 Ontario & Seawall,0011 Ontario & Seawall,Pay Per Ride,3467,996,7,9,0,0
2023-10-31 23:00,2023-10-31 23:00,30209,TRUE,0082 Richards & Davie,0025 Homer & Robson (Vancouver Public Library),365 Day Pass Standard,839,205,4,8,0,0
2023-10-31 23:00,2023-10-31 23:00,1683,FALSE,0058 Richards & Smithe,0052 Cambie & Water,365 Day Founding Plus,1384,374,9,10,0,0
2023-10-31 23:00,2023-10-31 23:00,259,FALSE,0012 Dunsmuir & Richards,0150 Alexander & Main,30 Day Pass,1396,384,9,9,0,0
2023-10-31 23:00,2023-10-31 23:00,307,FALSE,0227 Campbell & Hastings,0174 1st & Manitoba,365 Day Pass Standard,2787,630,6,8,0,0
2023-10-31 23:00,2023-10-31 23:00,30585,TRUE,0126 Thurlow & Pendrell,0187 Bute & Davie,Community Pass E-bike (PWD),251,142,6,2,0,0
2023-10-31 23:00,2023-10-31 23:00,30690,TRUE,0037 Hornby & Nelson,0313 Nelson & Denman,Pay Per Ride,1826,514,5,2,0,0
2023-10-31 23:00,2023-10-31 23:00,30269,TRUE,0126 Thurlow & Pendrell,0126 Thurlow & Pendrell,Community Pass E-bike (PWD),0,8,6,10,0,0
2023-10-31 23:00,2023-10-31 23:00,1836,FALSE,0196 Hornby & Drake,0079 Nelson & Richards,365 Corporate Plus,959,289,9,10,0,0
